index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,send_req_rtt,accept_req_rtt
1,213440600,213440603,213440605,297301631,213440636,213440637,297301640,300326753,0,300326756,300326761,300326766,3,2,83861026,31,1,83861004,3025113,-300326753,300326756,5,5,83861040,86886166
2,618221248,618221248,618221251,2147483647,618221273,618221274,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,0,3,1529262396,22,1,1529262374,0,0,0,0,0,1529262399,1529262399
3,978034119,978034120,978034122,2147483647,978034148,978034149,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,1,2,1169449525,26,1,1169449499,0,0,0,0,0,1169449528,1169449528
4,991803884,991803884,991803886,2147483647,991803895,991803896,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,0,2,1155679761,9,1,1155679752,0,0,0,0,0,1155679763,1155679763
5,340108959,340108960,340108962,297301633,340108972,340108973,297301643,300330438,0,300330441,300330443,300330447,1,2,-42807329,10,1,-42807329,3028795,-300330438,300330441,2,4,-42807316,-39778512
6,898727688,898727689,898727692,898727711,898727731,898727733,898727725,898731286,0,898731289,898731293,898731301,1,3,19,39,2,-6,3561,-898731286,898731289,4,8,37,3613
7,898728435,898728437,898728439,898728446,898728454,898728470,898728453,898731873,0,898731876,898731878,898731883,2,2,7,15,16,-1,3420,-898731873,898731876,2,5,18,3448
8,898728441,898728442,898728456,898728462,898728469,898728486,898728478,898731970,0,898731973,898731975,898731979,1,14,6,13,17,9,3492,-898731970,898731973,2,4,37,3538
9,898728907,898728908,898728910,898728916,898728922,898728935,898728923,898732243,0,898732246,898732248,898732252,1,2,6,12,13,1,3320,-898732243,898732246,2,4,16,3345
10,898728939,898728942,898728953,898728958,898728963,898728978,898728972,898732318,0,898732319,898732321,898732326,3,11,5,10,15,9,3346,-898732318,898732319,2,5,33,3387
11,898728940,898728941,898728943,898728946,898728952,898728960,898728953,898732315,0,898732317,898732319,898732324,1,2,3,9,8,1,3362,-898732315,898732317,2,5,13,3384
12,898730202,898730203,898730205,898730211,898730217,898730229,898730217,898733770,0,898733772,898733775,898733779,1,2,6,12,12,0,3553,-898733770,898733772,3,4,15,3577
13,898730317,898730317,898730319,898730323,898730329,898730341,898730330,898733824,0,898733826,898733828,898733831,0,2,4,10,12,1,3494,-898733824,898733826,2,3,13,3514
14,898730346,898730347,898730349,898730352,898730358,898730368,898730357,898733875,0,898733877,898733878,898733882,1,2,3,9,10,-1,3518,-898733875,898733877,1,4,11,3536
15,898730399,898730400,898730402,898730406,898730411,898730423,898730412,898733944,0,898733947,898733948,898733954,1,2,4,9,12,1,3532,-898733944,898733947,1,6,13,3555
16,898730426,898730432,898730442,898730445,898730450,898730465,898730459,898734013,0,898734015,898734016,898734020,6,10,3,8,15,9,3554,-898734013,898734015,1,4,33,3594
17,898730429,898730430,898730432,898730436,898730441,898730451,898730441,898733948,0,898733949,898733951,898733957,1,2,4,9,10,0,3507,-898733948,898733949,2,6,12,3528
18,898730506,898730507,898730509,898730513,898730519,898730529,898730518,898734016,0,898734016,898734018,898734024,1,2,4,10,10,-1,3498,-898734016,898734016,2,6,12,3518
19,898730533,898730535,898730536,898730540,898730546,898730556,898730547,898734060,0,898734062,898734064,898734068,2,1,4,10,10,1,3513,-898734060,898734062,2,4,14,3535
20,898730974,898730975,898730977,898730980,898730985,898731000,898730988,898734337,0,898734339,898734341,898734345,1,2,3,8,15,3,3349,-898734337,898734339,2,4,14,3371
21,898731006,898731008,898731018,898731022,898731028,898731043,898731037,898734390,0,898734392,898734394,898734399,2,10,4,10,15,9,3353,-898734390,898734392,2,5,31,3393
22,898731006,898731007,898731009,898731012,898731017,898731025,898731019,898734290,0,898734293,898734294,898734298,1,2,3,8,8,2,3271,-898734290,898734293,1,4,13,3292
23,898731089,898731090,898731092,898731096,898731101,898731115,898731106,898735055,0,898735057,898735059,898735063,1,2,4,9,14,5,3949,-898735055,898735057,2,4,17,3974
24,898731118,898731119,898731121,898731124,898731130,898731140,898731130,898734850,0,898734852,898734854,898734857,1,2,3,9,10,0,3720,-898734850,898734852,2,3,12,3739
25,898731154,898731154,898731156,898731159,898731164,898731174,898731164,898734738,0,898734741,898734742,898734746,0,2,3,8,10,0,3574,-898734738,898734741,1,4,10,3592
26,898731181,898731182,898731183,898731186,898731191,898731201,898731191,898734993,0,898734994,898734995,898735001,1,1,3,8,10,0,3802,-898734993,898734994,1,6,10,3820
