index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
1,8681108,8681111,8681114,698143397,8681142,8681144,698143406,701167456,0,701167459,701167463,701167467,3,3,689462283,28,2,689462264,3024050,-701167456,701167459,4,4,692486359
2,601220680,601220681,601220683,601220697,601220709,601220712,601220705,601234823,0,601234826,601234830,601234835,1,2,14,26,3,-4,14118,-601234823,601234826,4,5,14155
3,601290577,601290578,601290580,601290584,601290589,601290597,601290590,601294559,0,601294561,601294563,601294567,1,2,4,9,8,1,3969,-601294559,601294561,2,4,3990
4,602379127,602379128,602379130,602379138,602379143,602379153,602379146,602382537,0,602382540,602382541,602382545,1,2,8,13,10,3,3391,-602382537,602382540,1,4,3418
5,602606535,602606536,602606538,602606545,602606550,602606560,602606552,602610412,0,602610414,602610416,602610420,1,2,7,12,10,2,3860,-602610412,602610414,2,4,3885
6,603474326,603474327,603474328,603474333,603474338,603474349,603474342,603477773,0,603477775,603477777,603477782,1,1,5,10,11,4,3431,-603477773,603477775,2,5,3456
7,603674108,603674109,603674111,603674116,603674121,603674131,603674124,603677731,0,603677734,603677735,603677740,1,2,5,10,10,3,3607,-603677731,603677734,1,5,3632
8,604724932,604724933,604724935,2147483647,2147483647,604724950,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,1,2,1542758712,1542758712,-1542758697,0,0,0,0,0,0,1542758715
9,606884164,606884165,606884167,2147483647,2147483647,606884182,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,1,2,1540599480,1540599480,-1540599465,0,0,0,0,0,0,1540599483
10,608393023,608393024,608393026,608393038,608393049,608393061,608393048,608395399,0,608395402,608395404,608395412,1,2,12,23,12,-1,2351,-608395399,608395402,2,8,2389
11,613999335,613999336,613999338,613999351,613999360,613999370,613999360,614002588,0,614002591,614002593,614002599,1,2,13,22,10,0,3228,-614002588,614002591,2,6,3264
12,619076257,619076260,619076291,619076296,619076301,619076319,619076311,619079225,0,619079228,619079229,619079233,3,31,5,10,18,10,2914,-619079225,619079228,1,4,2976
13,619076258,619076259,619076261,619076275,619076288,619076291,619076287,619079176,0,619079179,619079182,619079187,1,2,14,27,3,-1,2889,-619079176,619079179,3,5,2929
14,623076277,623076279,623076281,623076295,623076309,623076312,623076305,623079827,0,623079830,623079833,623079838,2,2,14,28,3,-4,3522,-623079827,623079830,3,5,3561
15,623357817,623357818,623357820,623357826,623357832,623357842,623357834,623361142,0,623361145,623361148,623361153,1,2,6,12,10,2,3308,-623361142,623361145,3,5,3336
16,623405276,623405277,623405279,623405284,623405291,623405300,623405291,623408608,0,623408611,623408613,623408618,1,2,5,12,9,0,3317,-623408608,623408611,2,5,3342
17,623646154,623646155,623646156,623646164,623646172,623646182,623646171,623649408,0,623649410,623649412,623649418,1,1,8,16,10,-1,3237,-623649408,623649410,2,6,3264
18,623742507,623742508,623742510,623742514,623742521,623742530,623742522,623745806,0,623745809,623745811,623745818,1,2,4,11,9,1,3284,-623745806,623745809,2,7,3311
19,623811161,623811162,623811164,623811167,623811173,623811182,623811174,623814421,0,623814424,623814426,623814429,1,2,3,9,9,1,3247,-623814421,623814424,2,3,3268
20,624956652,624956653,624956655,624956661,624956667,624956677,624956669,624959050,0,624959053,624959055,624959059,1,2,6,12,10,2,2381,-624959050,624959053,2,4,2407
21,625760468,625760469,625760471,625760475,625760480,625760491,625760482,625763525,0,625763529,625763531,625763535,1,2,4,9,11,2,3043,-625763525,625763529,2,4,3067
22,626528890,626528891,626528893,626528900,626528908,626528918,626528909,626532175,0,626532177,626532180,626532185,1,2,7,15,10,1,3266,-626532175,626532177,3,5,3295
23,626907207,626907208,626907210,626907217,626907224,626907226,626907225,626909892,0,626909894,626909896,626909900,1,2,7,14,2,1,2667,-626909892,626909894,2,4,2693
24,628735236,628735237,628735239,628735245,628735252,628735264,628735254,628738180,0,628738183,628738185,628738190,1,2,6,13,12,2,2926,-628738180,628738183,2,5,2954
25,628958296,628958297,628958298,628958304,628958311,628958321,628958310,628961392,0,628961395,628961399,628961404,1,1,6,13,10,-1,3082,-628961392,628961395,4,5,3108
