index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
8,601673722,601673724,601673727,601673748,601673760,601673762,601673749,601709780,601709780,601709784,601709791,601709796,2,3,21,33,2,-11,36031,0,4,7,5,36074
16,602654700,602654702,602654704,602654718,602654731,602654732,602654719,602693354,602693354,602693358,602693365,602693372,2,2,14,27,1,-12,38635,0,4,7,7,38672
17,602654701,602654704,602654734,602654742,602654749,602654765,602654774,602693421,602693421,602693424,602693428,602693433,3,30,8,15,16,25,38647,0,3,4,5,38732
18,602654701,602654704,602654751,602654756,602654763,602654787,602654774,602693718,602693718,602693721,602693725,602693728,3,47,5,12,24,11,38944,0,3,4,3,39027
21,602654974,602654977,602655018,602655024,602655031,602655069,602655045,602693525,602693525,602693527,602693531,602693536,3,41,6,13,38,14,38480,0,2,4,5,38562
23,602655609,602655614,602655617,602655627,602655637,602655639,602655628,602693804,602693804,602693807,602693811,602693815,5,3,10,20,2,-9,38176,0,3,4,4,38206
24,602655609,602655616,602655639,602655644,602655650,602655676,602655658,602694385,602694385,602694389,602694393,602694397,7,23,5,11,26,8,38727,0,4,4,4,38788
25,602655612,602655616,602655651,602655655,602655661,602655676,602655659,602694435,602694435,602694438,602694442,602694446,4,35,4,10,15,-2,38776,0,3,4,4,38834
27,602655613,602655617,602655677,602655682,602655687,602655705,602655687,602694586,602694586,602694589,602694593,602694597,4,60,5,10,18,0,38899,0,3,4,4,38984
28,602655613,602655617,602655689,602655693,602655698,602655739,602655717,602694665,602694665,602694667,602694671,602694675,4,72,4,9,41,19,38948,0,2,4,4,39062
29,602655624,602655625,602655699,602655704,602655709,602655739,602655717,602694815,602694815,602694818,602694822,602694826,1,74,5,10,30,8,39098,0,3,4,4,39202
30,602655624,602655625,602655710,602655714,602655720,602655739,602655717,602694539,602694539,602694542,602694546,602694550,1,85,4,10,19,-3,38822,0,3,4,4,38926
31,602655748,602655752,602655756,602655765,602655774,602655775,602655766,602725605,602725605,602725608,602725613,602725619,4,4,9,18,1,-8,69839,0,3,5,6,69871
32,602656108,602656112,602656115,602656123,602656132,602656133,602656124,602725711,602725711,602725713,602725717,602725722,4,3,8,17,1,-8,69587,0,2,4,5,69614
33,602656108,602656113,602656134,602656139,602656145,602656170,602656154,602726670,602726670,602726673,602726677,602726681,5,21,5,11,25,9,70516,0,3,4,4,70573
34,602656110,602656114,602656146,602656150,602656156,602656170,602656154,602725837,602725837,602725840,602725844,602725848,4,32,4,10,14,-2,69683,0,3,4,4,69738
35,602656110,602656114,602656157,602656161,602656166,602656194,602656181,602726154,602726154,602726157,602726162,602726166,4,43,4,9,28,15,69973,0,3,5,4,70056
37,602656568,602656572,602656594,602656600,602656607,602656627,602656613,602726014,602726014,602726017,602726022,602726027,4,22,6,13,20,6,69401,0,3,5,5,69459
