2_SSEkernel_rtt:{'count': 35.0, 'mean': 200112.57, 'std': 54591.33, 'min': 105020.0, '50%': 199289.0, '90%': 264058.8, '99%': 331871.1, 'max': 363503.0}
2_SZSEkernel_rtt:{'count': 3598.0, 'mean': 3048.52, 'std': 486.18, 'min': 2079.0, '50%': 3192.0, '90%': 3500.0, '99%': 3777.45, 'max': 14155.0}
2_SSEkernel_rtt:{'count': 35.0, 'mean': 200112.57, 'std': 54591.33, 'min': 105020.0, '50%': 199289.0, '90%': 264058.8, '99%': 331871.1, 'max': 363503.0}
2_SZSEkernel_rtt:{'count': 3598.0, 'mean': 3048.52, 'std': 486.18, 'min': 2079.0, '50%': 3192.0, '90%': 3500.0, '99%': 3777.45, 'max': 14155.0}
2_SSEkernel_rtt:{'count': 35.0, 'mean': 200112.57, 'std': 54591.33, 'min': 105020.0, '50%': 199289.0, '90%': 264058.8, '99%': 331871.1, 'max': 363503.0}
2_SZSEkernel_rtt:{'count': 3598.0, 'mean': 3048.52, 'std': 486.18, 'min': 2079.0, '50%': 3192.0, '90%': 3500.0, '99%': 3777.45, 'max': 14155.0}
2_SSEkernel_rtt:{'count': 35.0, 'mean': 200112.57, 'std': 54591.33, 'min': 105020.0, '50%': 199289.0, '90%': 264058.8, '99%': 331871.1, 'max': 363503.0}
2_SZSEkernel_rtt:{'count': 3598.0, 'mean': 3048.52, 'std': 486.18, 'min': 2079.0, '50%': 3192.0, '90%': 3500.0, '99%': 3777.45, 'max': 14155.0}
2_SSEkernel_rtt:{'count': 35.0, 'mean': 200112.57, 'std': 54591.33, 'min': 105020.0, '50%': 199289.0, '90%': 264058.8, '99%': 331871.1, 'max': 363503.0}
2_SZSEkernel_rtt:{'count': 3598.0, 'mean': 3048.52, 'std': 486.18, 'min': 2079.0, '50%': 3192.0, '90%': 3500.0, '99%': 3777.45, 'max': 14155.0}
2_SSEkernel_rtt:{'count': 35.0, 'mean': 200112.57, 'std': 54591.33, 'min': 105020.0, '50%': 199289.0, '90%': 264058.8, '99%': 331871.1, 'max': 363503.0}
2_SZSEkernel_rtt:{'count': 3598.0, 'mean': 3048.52, 'std': 486.18, 'min': 2079.0, '50%': 3192.0, '90%': 3500.0, '99%': 3777.45, 'max': 14155.0}
